Sentence,isJoke
"My wife told me to stop impersonating a flamingo. I had to put my foot down.","yes"
"I went to buy some camo pants but couldn’t find any.","yes"
"I failed math so many times at school; I can’t even count.","yes"
"Did you know that the boomerang is Australias biggest export? Its also their biggest import.","yes"
"Don’t you hate it when someone answers their own questions? I do.","yes"
"Two wifi engineers got married. The reception was fantastic.","yes"
"What’s the difference between ignorance and apathy? I don’t know and I don’t care.","yes"
"Refusing to go to the gym is a form of resistance training.","yes"
"Despite the high cost of living; it remains popular.","yes"
"The rotation of Earth really makes my day.","yes"
"A book fell on my head the other day. I only have my shelf to blame though.","yes"
"If you don’t pay your exorcist; do you get repossessed?","yes"
"A ghost walked into a bar and ordered a shot of vodka. The bartender said; Sorry, we don’t serve spirits here.","yes"
"A blind man walked into a bar… and a table… and a chair…","yes"
"How do you make holy water? You boil the hell out of it.","yes"
"Maybe if we start telling people their brain is an app; they’ll want to use it.","yes"
"Build a man a fire and he’ll be warm for a day. Set a man on fire and he’ll be warm for the rest of his life.","yes"
"Why did the parents not like their son’s biology teacher? He had skeletons in his closet.","yes"
"What do you need in order to make a small fortune on Wall Street? A large fortune.","yes"
"The trouble with getting to work on time is that it makes the day so long.","yes"
"Why don’t cats play poker in the jungle? Too many cheetahs.","yes"
"I wanted my kids to watch the orchestra; but I had to turn it off. Too much sax and violins.","yes"
"What's the difference between a hippo and a Zippo? One is really heavy; and the other is a little lighter.","yes"
"What do you call a dead magician? An abra-cadaver.","yes"
"Don’t spell part backward. It’s a trap.","yes"
"There’s a new restaurant called Karma. There’s no menu. You get what you deserve.","yes"
"Atheism is a non-prophet organization.","yes"
"The other day I asked the banker to check my balance; so she pushed me.","yes"
"Animal testing is a terrible idea because they get all nervous and give the wrong answers.","yes"
"What do you call a hippie’s wife? Mississippi.","yes"
"Germany is the second most populous country in Europe after Russia.","no"
"Cost of living calculations are also used to compare the cost of maintaining a certain standard of living in different geographic areas.","no"
"Along with Hong Kong; South Korea; and Taiwan; Singapore is one of the Four Asian Tigers; and has surpassed its peers in terms of Gross Domestic Product (GDP) per capita.","no"
"Nowadays Italy is the fifth most visited country in international tourism.","no"
"This TF Hub model uses the implementation of BERT from the TensorFlow Models repository on GitHub.","no"
"They threw stun grenades through the windows; their first use by British police; and climbed through the kitchen window.","no"
"Himalayan salt is rock salt mined from the Salt Range mountains in the Pakistani region of Punjab.","no"
"The central hub for editors; with resources, links; tasks; and announcements.","no"
"The Chief Justice of Australia is the presiding Justice of the High Court of Australia and the highest-ranking judicial officer in the Commonwealth of Australia.","no"
"Since 2021; the German Bundeskanzler is Olaf Scholz of the Social Democratic Party of Germany.","no"
"The start of the municipal year follows any local elections taking place that year; typically in May.","no"
"Julius Caesar invaded Britain in 55 and 54 BC as part of his Gallic Wars.","no"
"NATO formed with twelve founding members and has added new members eight times; most recently when North Macedonia joined the alliance in March 2020.","no"
"Brussels is also increasingly becoming multilingual.","no"
"The Weser starts at the confluence of the Fulda and the Werra.","no"
"The town Porta Westfalica was established in 1973 by merging fifteen villages surrounding the gorge.","no"
"pandas is an open source; BSD-licensed library providing high-performance; easy-to-use data structures and data analysis tools for the Python programming language.","no"
"Matko Destanov; a small-time Romani smuggler and profiteer; lives with his teenage son Zare in a ramshackle house by the Danube River in eastern Serbia near the Bulgarian border.","no"
"In 1349; the Black Death radically altered Norway; killing between 50% and 60% of its population and leaving it in a period of social and economic decline.","no"
"Farming is another regional economy; and consists mainly of dairy farming and livestock such as sheep; and domesticated reindeer graze the inland highlands.","no"
"The elections were held in accordance with the 1928 constitution; which established the Legislative Council; reducing the proportion of elected members and increasing the number of members appointed by the government.","no"
"Born into the Finnish noble Alopaeus family; he followed his older brother Maximilian von Alopaeus into a diplomatic career. ","no"
"However the same author had stated previously that the Earl's father; Thomas Fortescue; had purchased an estate near Dromiskin in Ireland; named Randalstown; which he renamed "Clermont Park".","no"
"In December 2020; she was named the dean of the Faculty of Law; with a term to commence January 1; 2021.","no"
"It is a concrete and steel structure; with a facade of brown-colored granite and glass.","no"
"He also served as a board member of the Personal Care Products Council trade association and was President of the California Cosmetics Association.","no"
"The company was founded to recycle precious metal scrap from electronic equipment manufacturers.","no"
"The gestation period of LNG transport infrastructure is a few years.","no"
"The university is organized into six colleges offering 65 bachelor's and 39 master's degrees.","no"
"The city is over an oilfield with minor wells both directly beneath the city as well as offshore.","no"